Brand,UniqueID,Range (Km),Efficiency (Wh/km),Acceleration (0-100),Battery (kWh),FastCharge (kW),Cargo (L),Price_per_Range (/km),Germany_Price(€),Segment
MG,3248,440,219,3.5,96.5,250.0,697.0,133.0,,D - Large
Audi,2221,525,185,2.5,97.0,267.0,427.0,311.0,160500.0,F - Luxury
Polestar,1486,345,177,7.4,61.0,75.0,440.0,133.0,45500.0,D - Large
Mercedes,2087,540,219,6.8,118.0,160.0,645.0,219.0,110801.0,F - Luxury
Citroen,2159,235,213,11.7,50.0,80.0,775.0,160.0,36940.0,N - Passenger Van
Volvo,3156,400,198,4.8,79.0,110.0,435.0,150.0,61290.0,C - Medium
Tesla,1033,350,190,5.4,66.5,95.0,895.0,240.0,83500.0,F - Luxury
Porsche,1186,420,199,5.1,83.7,200.0,530.0,238.0,98514.0,F - Luxury
Kia,1288,370,173,7.9,64.0,61.0,315.0,107.0,42390.0,B - Compact
Polestar,1759,480,223,4.7,107.0,150.0,516.0,194.0,92190.0,E - Executive
Porsche,2110,510,190,4.7,97.0,267.0,530.0,225.0,113100.0,F - Luxury
Skoda,3099,370,159,8.1,59.0,110.0,570.0,124.0,46850.0,C - Medium
Volvo,3161,385,205,4.6,79.0,110.0,441.0,163.0,62890.0,C - Medium
Mercedes,3241,515,176,5.9,90.6,141.0,430.0,150.0,74149.0,E - Executive
Mercedes,1493,340,196,6.2,66.5,99.0,495.0,188.0,58197.0,C - Medium
Opel,1544,205,226,11.7,46.3,74.0,571.0,198.0,43050.0,N - Passenger Van
Porsche,1925,415,171,4.0,71.0,171.0,491.0,273.0,114559.0,F - Luxury
Peugeot,3066,350,167,7.2,58.3,80.0,471.0,126.0,46300.0,C - Medium
Porsche,2085,465,204,3.3,94.9,186.0,564.0,247.0,114600.0,D - Large
Ford,2279,445,204,4.6,91.0,115.0,619.0,148.0,65900.0,D - Large
Skoda,3183,450,176,5.4,79.0,135.0,470.0,118.0,53050.0,C - Medium
Subaru,3437,375,192,5.1,72.0,110.0,403.0,130.0,,C - Medium
Polestar,2225,405,165,6.4,67.0,100.0,448.0,120.0,48990.0,D - Large
Audi,3149,340,174,8.1,59.0,110.0,520.0,148.0,48150.0,C - Medium
JAC,1410,225,173,12.0,39.0,29.0,250.0,133.0,,B - Compact
Citroen,1939,330,154,9.3,50.8,79.0,510.0,119.0,36325.0,C - Medium
Dacia,1704,160,156,19.1,25.0,29.0,300.0,123.0,20490.0,A - Mini
Nissan,1021,105,210,14.0,22.0,34.0,2.0,332.0,37602.0,N - Passenger Van
Mercedes,1495,350,190,7.7,66.5,99.0,340.0,170.0,53746.0,C - Medium
Abarth,1903,225,166,7.0,37.3,65.0,185.0,158.0,37990.0,B - Compact
Honda,1233,170,168,8.3,28.5,31.0,171.0,242.0,39900.0,B - Compact
Dacia,1813,160,156,13.7,25.0,29.0,300.0,150.0,24550.0,A - Mini
BMW,3114,430,189,3.8,81.2,123.0,490.0,249.0,99500.0,E - Executive
Volkswagen,1041,95,168,12.4,16.0,29.0,250.0,269.0,26900.0,A - Mini
Lotus,1768,455,240,2.9,109.0,246.0,657.0,326.0,151990.0,F - Luxury
Toyota,2166,230,217,11.7,50.0,80.0,1.0,179.0,40250.0,N - Passenger Van
Audi,2219,540,180,3.4,97.0,267.0,482.0,235.0,126000.0,F - Luxury
Abarth,3057,280,181,5.9,50.8,79.0,360.0,170.0,48990.0,B - Compact
Nissan,3202,260,154,9.0,40.0,55.0,326.0,106.0,27990.0,B - Compact
MG,3246,490,197,3.2,96.5,250.0,475.0,114.0,,D - Large
Opel,3307,280,181,5.9,50.8,79.0,310.0,157.0,47300.0,B - Compact
XPENG,3431,375,160,6.9,60.0,220.0,573.0,124.0,46600.0,E - Executive
Volkswagen,1306,350,166,7.3,58.0,75.0,385.0,104.0,36495.0,C - Medium
Mercedes,3285,435,208,6.0,90.6,141.0,520.0,210.0,89548.0,E - Executive
Porsche,2104,460,179,4.8,82.3,195.0,530.0,225.0,102400.0,F - Luxury
Mercedes,1616,305,295,12.0,90.0,95.0,1.0,264.0,65140.0,N - Passenger Van
Opel,1941,290,160,8.7,46.3,74.0,267.0,116.0,34650.0,B - Compact
Citroen,3049,290,160,9.9,46.3,74.0,510.0,115.0,32600.0,C - Medium
Tesla,1035,445,192,4.4,85.5,90.0,895.0,222.0,98000.0,F - Luxury
Tesla,1072,345,180,5.8,62.0,95.0,895.0,221.0,69019.0,F - Luxury
Tesla,1207,515,184,2.8,95.0,110.0,894.0,193.0,96990.0,F - Luxury
Mercedes,1761,425,209,6.6,89.0,120.0,520.0,230.0,89548.0,E - Executive
Volkswagen,1081,100,160,12.4,16.0,29.0,250.0,235.0,22975.0,A - Mini
Ford,1243,465,189,7.0,88.0,84.0,619.0,120.0,54475.0,D - Large
Volvo,1796,340,194,7.3,66.0,113.0,441.0,144.0,47500.0,C - Medium
Mercedes,2239,220,205,13.3,45.0,50.0,828.0,213.0,41613.0,N - Passenger Van
Audi,2271,555,171,3.9,94.9,186.0,529.0,187.0,99500.0,E - Executive
Volkswagen,3255,445,178,5.4,79.0,135.0,549.0,128.0,58755.0,C - Medium
Subaru,3435,320,169,8.4,54.0,85.0,404.0,118.0,,C - Medium
Fiat,1275,230,162,9.0,37.3,65.0,185.0,148.0,37990.0,B - Compact
Peugeot,1946,270,171,9.9,46.3,74.0,434.0,142.0,39000.0,B - Compact
Hongqi,2050,455,246,4.9,112.0,110.0,438.0,187.0,,F - Luxury
Lotus,2141,520,190,4.2,98.9,328.0,543.0,209.0,106400.0,F - Luxury
Cadillac,3267,375,243,4.1,91.0,100.0,297.0,290.0,108809.0,F - Luxury
Volkswagen,1557,430,179,8.4,77.0,124.0,549.0,122.0,47550.0,C - Medium
Skoda,2026,450,171,5.5,77.0,120.0,570.0,140.0,63300.0,C - Medium
Ford,2240,320,163,9.0,52.0,85.0,572.0,141.0,44950.0,D - Large
Smart,3142,475,202,6.5,96.0,230.0,702.0,109.0,50900.0,D - Large
Polestar,3153,450,176,4.2,79.0,110.0,448.0,142.0,63490.0,D - Large
Porsche,3381,465,204,3.8,94.9,186.0,560.0,227.0,104200.0,D - Large
Kia,1154,370,173,7.9,64.0,61.0,315.0,113.0,36837.0,B - Compact
Tesla,1208,430,221,2.9,95.0,110.0,,250.0,102990.0,F - Luxury
Volkswagen,1411,285,182,9.0,52.0,70.0,543.0,154.0,39955.0,C - Medium
Citroen,1938,330,154,9.2,50.8,79.0,380.0,118.0,35925.0,C - Medium
Audi,2014,395,195,6.6,77.0,120.0,520.0,142.0,54950.0,C - Medium
VinFast,3282,310,192,8.9,59.6,90.0,,128.0,38990.0,D - Large
Volvo,3323,425,207,6.8,88.0,170.0,703.0,208.0,85990.0,F - Luxury
Jaguar,1307,380,223,6.4,84.7,83.0,505.0,186.0,75351.0,D - Large
Mercedes,1615,310,290,12.0,90.0,95.0,990.0,249.0,64248.0,N - Passenger Van
Mercedes,1664,385,173,8.9,66.5,99.0,495.0,146.0,52550.0,C - Medium
Volvo,3154,360,186,7.3,67.0,100.0,435.0,150.0,54390.0,C - Medium
Lexus,3295,390,185,4.4,72.0,110.0,522.0,198.0,78700.0,D - Large
Toyota,3133,305,177,8.6,54.0,85.0,452.0,142.0,42990.0,C - Medium
Audi,1153,400,209,3.3,83.7,200.0,451.0,365.0,146050.0,F - Luxury
Volvo,3118,335,194,3.7,65.0,101.0,325.0,164.0,57290.0,B - Compact
Voyah,3137,390,198,4.9,77.3,110.0,527.0,128.0,,D - Large
Fiat,1726,135,158,9.0,21.3,40.0,185.0,222.0,,B - Compact
Polestar,1777,385,195,4.4,75.0,97.0,440.0,162.0,61495.0,D - Large
Porsche,2111,510,190,3.8,97.0,267.0,530.0,244.0,126400.0,F - Luxury
Smart,3144,465,206,4.9,96.0,230.0,677.0,120.0,55400.0,D - Large
Audi,1659,330,262,4.5,86.5,147.0,677.0,292.0,96050.0,E - Executive
GWM,2093,325,182,8.2,59.3,54.0,228.0,115.0,37490.0,C - Medium
Peugeot,2150,355,206,6.5,73.0,90.0,348.0,178.0,62500.0,D - Large
Ford,3187,380,191,6.2,72.6,100.0,619.0,136.0,56500.0,D - Large
Ford,1245,430,205,5.8,88.0,84.0,619.0,154.0,63700.0,D - Large
Genesis,3236,400,200,4.0,80.0,205.0,432.0,190.0,74480.0,C - Medium
MG,3244,405,181,6.8,73.5,120.0,475.0,112.0,,D - Large
Hyundai,1381,365,192,5.2,70.0,179.0,555.0,159.0,59550.0,C - Medium
Volvo,1655,335,200,7.4,67.0,113.0,450.0,151.0,48850.0,C - Medium
Mercedes,1778,410,172,8.9,70.5,90.0,495.0,133.0,53978.0,C - Medium
Maserati,1843,415,238,4.1,98.6,110.0,535.0,301.0,124301.0,E - Executive
Volkswagen,2119,520,165,6.7,86.0,145.0,605.0,117.0,59785.0,E - Executive
Cadillac,3371,365,205,6.7,75.0,90.0,443.0,178.0,65000.0,D - Large
Renault,2043,220,205,13.3,45.0,50.0,500.0,183.0,40250.0,N - Passenger Van
Ford,3189,435,202,4.8,88.0,105.0,619.0,158.0,66600.0,D - Large
Citroen,1102,100,205,19.5,20.5,30.0,1.0,317.0,,N - Passenger Van
Volvo,1421,360,208,4.7,75.0,97.0,450.0,170.0,57650.0,C - Medium
Volkswagen,1533,450,171,7.9,77.0,103.0,385.0,123.0,56500.0,C - Medium
SsangYong,1589,290,193,8.5,56.0,68.0,551.0,137.0,42490.0,C - Medium
Mercedes,1713,515,173,7.3,89.0,120.0,430.0,144.0,66402.0,E - Executive
Kia,1833,350,209,8.5,73.0,160.0,423.0,174.0,61990.0,F - Luxury
Smart,1999,355,175,5.8,62.0,90.0,385.0,120.0,43490.0,B - Compact
Nissan,1011,125,176,11.9,22.0,34.0,330.0,243.0,33990.0,C - Medium
Tesla,1030,340,196,5.8,66.5,95.0,895.0,231.0,78000.0,F - Luxury
Lotus,3217,455,240,2.9,109.0,246.0,657.0,327.0,145990.0,F - Luxury
Skoda,3376,460,167,6.7,77.0,120.0,570.0,117.0,53750.0,C - Medium
Tesla,1064,405,211,3.3,85.5,90.0,895.0,316.0,124200.0,F - Luxury
Mercedes,1496,350,190,6.0,66.5,99.0,340.0,177.0,56424.0,C - Medium
TOGG,3304,295,169,7.2,50.0,70.0,505.0,116.0,34295.0,D - Large
Porsche,1229,415,202,3.2,83.7,200.0,450.0,367.0,156348.0,F - Luxury
Mercedes,1484,590,183,4.3,107.8,169.0,610.0,267.0,141705.0,F - Luxury
Audi,1658,320,270,4.5,86.5,147.0,722.0,294.0,93800.0,E - Executive
Tesla,1054,375,228,4.0,85.5,90.0,,353.0,131300.0,F - Luxury
Kia,1339,235,167,9.8,39.2,37.0,451.0,159.0,38290.0,C - Medium
Volvo,1520,335,224,4.9,75.0,97.0,450.0,172.0,59250.0,C - Medium
Genesis,1703,440,188,4.9,82.5,160.0,354.0,170.0,69200.0,F - Luxury
Volvo,1799,355,186,7.3,66.0,113.0,450.0,145.0,47500.0,C - Medium
Volkswagen,1832,455,169,7.9,77.0,120.0,385.0,108.0,47595.0,C - Medium
Toyota,2165,235,213,11.7,50.0,80.0,775.0,167.0,38830.0,N - Passenger Van
Polestar,1817,395,167,6.4,66.0,113.0,446.0,121.0,46275.0,D - Large
BMW,3116,450,180,5.5,81.2,123.0,570.0,179.0,77600.0,E - Executive
Ford,3190,435,209,3.8,91.0,115.0,619.0,168.0,78000.0,D - Large
Fiat,1328,235,159,9.0,37.3,65.0,185.0,146.0,36990.0,B - Compact
Porsche,1437,420,199,4.1,83.7,200.0,530.0,269.0,114222.0,F - Luxury
GWM,2092,340,174,8.2,59.3,54.0,228.0,107.0,32490.0,C - Medium
Citroen,2254,265,260,14.2,69.0,77.0,603.0,213.0,52230.0,N - Passenger Van
DS,3200,350,167,7.1,58.3,80.0,390.0,122.0,45900.0,C - Medium
Skoda,1631,430,179,6.5,77.0,103.0,575.0,146.0,63300.0,C - Medium
Peugeot,3322,340,163,9.5,55.4,75.0,505.0,115.0,43435.0,C - Medium
CUPRA,1517,345,168,6.6,58.0,75.0,385.0,116.0,40750.0,C - Medium
Mercedes,1675,485,224,4.6,108.4,169.0,645.0,323.0,135434.0,F - Luxury
Porsche,2145,475,204,2.2,97.0,267.0,451.0,496.0,240000.0,F - Luxury
Mercedes,2197,585,202,3.4,118.0,160.0,620.0,294.0,155009.0,F - Luxury
Lancia,3224,325,156,8.2,50.8,79.0,309.0,104.0,,B - Compact
Renault,1078,245,167,13.5,41.0,33.0,338.0,126.0,,B - Compact
Renault,1588,380,158,10.5,60.0,80.0,440.0,111.0,47000.0,C - Medium
Volkswagen,2033,430,179,5.5,77.0,120.0,549.0,141.0,56455.0,C - Medium
Smart,2217,250,188,6.7,47.0,65.0,338.0,135.0,34990.0,B - Compact
Audi,3041,410,185,7.0,75.8,150.0,575.0,167.0,65900.0,D - Large
Lancia,3225,305,167,5.6,50.8,79.0,309.0,134.0,,B - Compact
Mercedes,3242,505,179,4.4,90.6,141.0,430.0,176.0,84764.0,E - Executive
KGM,3447,365,221,9.2,80.6,100.0,907.0,118.0,41990.0,N - Passenger Van
BMW,2096,455,178,5.4,81.2,123.0,490.0,172.0,75600.0,E - Executive
Volkswagen,2156,360,219,6.5,79.0,135.0,1.0,204.0,73102.0,N - Passenger Van
VinFast,1809,400,219,5.5,87.7,105.0,376.0,144.0,58890.0,D - Large
Porsche,2101,565,172,3.7,97.0,267.0,491.0,218.0,126422.0,F - Luxury
Mercedes,3286,455,211,4.7,96.0,141.0,520.0,222.0,99841.0,E - Executive
Tesla,1176,420,226,3.0,95.0,100.0,,274.0,112700.0,F - Luxury
Opel,2262,265,260,14.2,69.0,77.0,603.0,210.0,53550.0,N - Passenger Van
Porsche,1238,460,182,4.0,83.7,200.0,491.0,245.0,114389.0,F - Luxury
Seres,1357,255,196,8.9,50.0,85.0,318.0,149.0,,C - Medium
Porsche,3380,470,202,4.1,94.9,186.0,624.0,196.0,91200.0,D - Large
Zeekr,1935,480,196,3.8,94.0,135.0,569.0,150.0,71950.0,E - Executive
Skoda,2024,460,167,6.7,77.0,120.0,570.0,114.0,51150.0,C - Medium
Ford,2037,440,207,5.8,91.0,115.0,619.0,158.0,65900.0,D - Large
Volkswagen,3119,265,223,10.7,59.0,110.0,1.0,189.0,49998.0,N - Passenger Van
Genesis,3234,425,188,7.8,80.0,205.0,432.0,138.0,54680.0,C - Medium
Lucid,3291,460,193,4.2,89.0,180.0,1.0,220.0,99900.0,F - Luxury
Polestar,3328,460,222,3.9,102.0,200.0,508.0,230.0,,E - Executive
Peugeot,1028,85,171,15.9,14.5,30.0,166.0,328.0,29393.0,A - Mini
Audi,1492,400,192,6.2,76.6,103.0,535.0,167.0,59900.0,C - Medium
Toyota,1514,265,260,13.1,69.0,77.0,603.0,244.0,64530.0,N - Passenger Van
Ford,2277,385,189,6.2,72.6,100.0,619.0,132.0,55800.0,D - Large
Mercedes,1698,420,168,8.6,70.5,90.0,340.0,129.0,52205.0,C - Medium
ORA,1781,260,175,8.3,45.4,45.0,228.0,146.0,38990.0,C - Medium
Audi,2018,415,186,5.4,77.0,120.0,535.0,157.0,61000.0,C - Medium
Audi,3043,500,190,5.9,94.9,186.0,575.0,160.0,77100.0,D - Large
Opel,3201,355,206,6.1,73.0,90.0,485.0,141.0,51750.0,C - Medium
Tesla,1193,420,173,4.2,72.5,80.0,894.0,201.0,86800.0,F - Luxury
Porsche,2244,470,202,4.1,94.9,186.0,624.0,196.0,90700.0,D - Large
Skoda,2250,310,168,9.1,52.0,90.0,585.0,138.0,,C - Medium
Volvo,3130,535,191,4.0,102.0,200.0,468.0,178.0,94490.0,F - Luxury
Porsche,3382,465,204,3.3,94.9,186.0,564.0,250.0,115500.0,D - Large
Peugeot,1103,100,205,19.5,20.5,30.0,544.0,305.0,,N - Passenger Van
XPENG,1824,395,192,6.4,75.8,170.0,731.0,150.0,59600.0,E - Executive
Skoda,3101,460,167,6.7,77.0,120.0,570.0,121.0,53400.0,C - Medium
BMW,3117,425,191,3.9,81.2,123.0,570.0,257.0,101500.0,E - Executive
Opel,1348,265,260,13.3,69.0,77.0,,256.0,69250.0,N - Passenger Van
NIO,1752,505,178,3.8,90.0,100.0,363.0,183.0,90900.0,F - Luxury
Smart,2041,250,188,6.7,47.0,65.0,338.0,147.0,37490.0,B - Compact
Lucid,2116,530,158,4.7,84.0,140.0,910.0,163.0,85000.0,F - Luxury
Mini,3059,280,176,6.4,49.2,75.0,300.0,170.0,43150.0,B - Compact
Volkswagen,3253,320,163,8.9,52.0,87.0,549.0,145.0,45270.0,C - Medium
Kia,1289,230,170,9.9,39.2,37.0,315.0,156.0,38090.0,B - Compact
Toyota,2264,180,257,12.1,46.3,74.0,603.0,276.0,44230.0,N - Passenger Van
Toyota,2266,265,260,13.3,69.0,77.0,603.0,215.0,,N - Passenger Van
Zeekr,3199,350,186,3.8,65.0,101.0,383.0,138.0,48450.0,B - Compact
Renault,1150,255,161,13.2,41.0,0.0,338.0,131.0,34100.0,B - Compact
Fisker,1710,500,213,4.2,106.5,135.0,476.0,118.0,58900.0,D - Large
Volvo,2136,385,205,4.8,79.0,110.0,441.0,164.0,59590.0,C - Medium
Mercedes,2204,525,170,7.3,89.0,120.0,430.0,131.0,67187.0,E - Executive
Audi,2017,410,188,6.6,77.0,120.0,535.0,142.0,56950.0,C - Medium
Smart,2052,265,177,5.9,47.0,65.0,385.0,142.0,38490.0,B - Compact
Porsche,3062,535,181,3.3,97.0,267.0,450.0,273.0,147700.0,F - Luxury
Smart,3141,370,201,6.9,74.4,110.0,702.0,126.0,45900.0,D - Large
Audi,1107,380,228,5.7,86.5,147.0,677.0,217.0,81639.0,E - Executive
Mercedes,3243,450,201,3.5,90.6,141.0,430.0,268.0,110706.0,E - Executive
Mercedes,1562,540,168,6.6,90.6,141.0,610.0,175.0,97806.0,F - Luxury
Volkswagen,1913,430,179,8.4,77.0,124.0,549.0,128.0,48970.0,C - Medium
BMW,2115,415,196,3.9,81.2,123.0,570.0,263.0,101500.0,E - Executive
Mercedes,2274,315,286,12.2,90.0,96.0,1.0,276.0,62897.0,N - Passenger Van
Abarth,1904,225,166,7.0,37.3,65.0,185.0,171.0,40990.0,B - Compact
Mercedes,2045,450,201,7.6,90.6,141.0,520.0,186.0,83479.0,E - Executive
DS,3076,415,178,7.7,73.7,90.0,620.0,139.0,57700.0,D - Large
Volkswagen,1534,450,171,7.9,77.0,103.0,385.0,98.0,43720.0,C - Medium
Mercedes,1537,540,200,3.4,107.8,169.0,610.0,320.0,155009.0,F - Luxury
Peugeot,1608,265,260,14.3,69.0,77.0,989.0,223.0,58730.0,N - Passenger Van
Ford,1757,425,214,4.4,91.0,84.0,619.0,197.0,86200.0,D - Large
ORA,1814,340,174,8.2,59.3,54.0,228.0,123.0,44490.0,C - Medium
Skywell,3065,385,210,9.6,81.0,50.0,467.0,119.0,,D - Large
Smart,1132,100,167,11.5,16.7,0.0,260.0,221.0,21940.0,A - Mini
Volkswagen,1558,405,190,6.3,77.0,103.0,549.0,145.0,53615.0,C - Medium
Ford,1754,480,190,7.0,91.0,84.0,619.0,138.0,71200.0,D - Large
Audi,1773,455,233,4.5,106.0,145.0,631.0,228.0,98100.0,E - Executive
Porsche,2112,495,196,2.8,97.0,267.0,489.0,350.0,177000.0,F - Luxury
Maserati,2187,395,210,2.8,83.0,190.0,151.0,530.0,206713.0,F - Luxury
Skoda,3185,470,168,5.4,79.0,135.0,570.0,129.0,60850.0,C - Medium
Opel,1278,255,182,9.0,46.3,74.0,310.0,135.0,34110.0,B - Compact
Mercedes,1315,310,290,12.1,90.0,95.0,1.0,254.0,72519.0,N - Passenger Van
Citroen,1597,265,260,13.3,69.0,77.0,507.0,217.0,57940.0,N - Passenger Van
Ford,1753,375,187,6.9,70.0,76.0,619.0,156.0,62900.0,D - Large
NIO,1915,400,184,4.0,73.5,110.0,450.0,154.0,59500.0,E - Executive
Smart,1920,325,191,4.5,62.0,90.0,328.0,137.0,46490.0,B - Compact
Mercedes,2089,530,223,5.3,118.0,160.0,645.0,257.0,124545.0,F - Luxury
Tesla,1061,345,200,5.8,69.0,95.0,895.0,242.0,82700.0,F - Luxury
Smart,1091,95,176,12.7,16.7,0.0,185.0,232.0,22600.0,A - Mini
Mercedes,1652,455,199,4.2,90.6,136.0,430.0,236.0,103827.0,E - Executive
eGO,1896,150,180,12.0,27.0,0.0,116.0,167.0,24990.0,B - Compact
Porsche,2102,535,181,2.7,97.0,267.0,450.0,320.0,175600.0,F - Luxury
Cadillac,3266,400,228,3.3,91.0,100.0,588.0,249.0,99640.0,E - Executive
Volkswagen,1702,405,190,6.9,77.0,103.0,543.0,121.0,49020.0,C - Medium
BMW,3113,465,175,5.4,81.2,123.0,490.0,169.0,75600.0,E - Executive
Ford,1244,335,203,6.3,68.0,76.0,619.0,171.0,54750.0,D - Large
Volvo,2137,400,198,4.8,79.0,110.0,435.0,160.0,61290.0,C - Medium
Volkswagen,3312,250,255,12.8,63.8,75.0,1.0,252.0,63725.0,N - Passenger Van
Nissan,1305,405,215,5.1,87.0,80.0,415.0,168.0,71490.0,C - Medium
Opel,1603,265,260,13.3,69.0,77.0,912.0,220.0,57775.0,N - Passenger Van
Mercedes,1613,120,292,16.0,35.0,0.0,990.0,453.0,54395.0,N - Passenger Van
Audi,1771,445,200,6.0,89.0,147.0,590.0,177.0,78150.0,E - Executive
XPENG,1823,455,182,4.1,82.7,135.0,440.0,155.0,69600.0,E - Executive
Porsche,1929,440,190,5.1,83.7,200.0,530.0,238.0,103254.0,F - Luxury
Mercedes,2207,505,179,4.7,90.6,141.0,430.0,177.0,88215.0,E - Executive
BMW,1105,160,170,6.9,27.2,46.0,260.0,265.0,45750.0,B - Compact
MG,1526,340,169,7.7,57.4,53.0,464.0,98.0,,C - Medium
Skoda,1629,445,173,8.7,77.0,124.0,575.0,118.0,54400.0,C - Medium
Peugeot,2259,265,260,14.2,69.0,77.0,989.0,225.0,53230.0,N - Passenger Van
Tesla,1062,355,194,5.4,69.0,95.0,895.0,251.0,88200.0,F - Luxury
Audi,1290,295,176,9.0,52.0,70.0,535.0,174.0,46700.0,C - Medium
Audi,1527,385,199,6.9,76.6,103.0,520.0,150.0,53990.0,C - Medium
Audi,3044,495,192,4.3,94.9,186.0,575.0,207.0,96200.0,D - Large
Volkswagen,3310,255,250,8.6,63.8,75.0,800.0,253.0,64867.0,N - Passenger Van
Renault,1131,245,167,13.5,41.0,33.0,338.0,121.0,,B - Compact
DS,1148,255,182,8.7,46.3,74.0,350.0,150.0,38690.0,B - Compact
Mercedes,1714,510,175,6.4,89.0,120.0,430.0,158.0,70210.0,E - Executive
Volkswagen,1912,430,179,10.4,77.0,124.0,549.0,124.0,47935.0,C - Medium
Ford,2036,350,207,6.2,72.6,100.0,619.0,168.0,57900.0,D - Large
Mercedes,2140,325,277,12.1,90.0,96.0,990.0,241.0,72043.0,N - Passenger Van
Porsche,1923,420,169,5.4,71.0,171.0,491.0,225.0,93139.0,F - Luxury
Peugeot,2004,365,200,6.0,73.0,90.0,588.0,166.0,60000.0,C - Medium
Skoda,2025,455,169,6.6,77.0,120.0,570.0,122.0,53400.0,C - Medium
GWM,2247,430,194,4.5,83.5,80.0,333.0,124.0,53490.0,D - Large
Tesla,1074,285,218,6.2,62.0,95.0,,315.0,89100.0,F - Luxury
Ford,1669,480,190,7.0,91.0,84.0,619.0,135.0,62950.0,D - Large
NIO,1789,430,209,3.9,90.0,100.0,570.0,224.0,94900.0,F - Luxury
Mercedes,1902,450,201,3.5,90.6,136.0,430.0,275.0,110706.0,E - Executive
Mercedes,2206,515,176,6.3,90.6,141.0,430.0,148.0,74149.0,E - Executive
Abarth,3056,280,181,6.2,50.8,79.0,360.0,155.0,44990.0,B - Compact
Voyah,3136,395,196,6.8,77.3,110.0,527.0,114.0,,D - Large
KGM,3226,365,221,9.2,80.6,100.0,907.0,118.0,41990.0,N - Passenger Van
Hongqi,3264,455,209,6.3,95.3,210.0,705.0,121.0,,E - Executive
Ford,3424,270,263,9.0,71.0,105.0,819.0,244.0,62654.0,N - Passenger Van
Genesis,1647,390,190,7.8,74.0,196.0,432.0,159.0,,C - Medium
Ford,3165,235,272,8.0,64.0,105.0,819.0,326.0,76517.0,N - Passenger Van
Hongqi,3265,435,219,3.9,95.3,210.0,705.0,172.0,,E - Executive
Mercedes,3283,450,201,7.1,90.6,141.0,520.0,184.0,83479.0,E - Executive
Volvo,1950,485,206,8.4,100.0,140.0,703.0,180.0,83700.0,F - Luxury
Volkswagen,2216,500,172,5.4,86.0,145.0,532.0,137.0,63155.0,E - Executive
Mercedes,1673,500,217,6.7,108.4,169.0,645.0,236.0,110801.0,F - Luxury
Fiat,1727,135,158,9.0,21.3,40.0,185.0,248.0,35490.0,B - Compact
Mercedes,1763,425,213,4.3,90.6,141.0,520.0,301.0,124920.0,E - Executive
Elaris,1975,390,208,9.5,81.0,65.0,467.0,136.0,53090.0,D - Large
Smart,2218,335,185,6.7,62.0,90.0,338.0,115.0,39990.0,B - Compact
Audi,2249,300,173,9.0,52.0,90.0,535.0,159.0,47600.0,C - Medium
Volkswagen,1914,405,190,6.3,77.0,103.0,549.0,152.0,56455.0,C - Medium
Tesla,1199,440,216,3.6,95.0,100.0,,243.0,107600.0,F - Luxury
Porsche,1438,395,212,3.3,83.7,200.0,489.0,389.0,157776.0,F - Luxury
DS,1582,265,175,8.7,46.3,74.0,350.0,149.0,39440.0,B - Compact
Mercedes,1665,420,168,9.1,70.5,90.0,340.0,136.0,55960.0,C - Medium
Toyota,1780,205,226,11.2,46.3,74.0,850.0,205.0,40150.0,N - Passenger Van
Nissan,3074,385,226,5.0,87.0,80.0,415.0,165.0,63990.0,C - Medium
Tesla,1197,355,204,4.8,72.5,80.0,,252.0,91700.0,F - Luxury
NIO,1921,365,201,4.5,73.5,110.0,579.0,183.0,65500.0,E - Executive
MG,2202,425,175,5.0,74.4,85.0,249.0,153.0,64990.0,S - Sports
Ford,3162,235,272,9.0,64.0,105.0,672.0,291.0,66819.0,N - Passenger Van
Porsche,1394,475,176,5.4,83.7,200.0,491.0,200.0,94123.0,F - Luxury
Opel,1601,180,257,12.1,46.3,74.0,912.0,269.0,51825.0,N - Passenger Van
Opel,1602,265,260,13.3,69.0,77.0,507.0,215.0,56942.0,N - Passenger Van
Ford,1668,375,187,6.9,70.0,76.0,619.0,156.0,56500.0,D - Large
Tesla,1038,405,211,3.0,85.5,90.0,895.0,327.0,131400.0,F - Luxury
Mercedes,1674,490,221,6.0,108.4,169.0,645.0,267.0,114609.0,F - Luxury
Porsche,2105,530,183,4.8,97.0,267.0,530.0,204.0,108124.0,F - Luxury
Opel,2162,230,217,11.3,50.0,80.0,1.0,175.0,39600.0,N - Passenger Van
Smart,1134,95,176,12.7,16.7,0.0,185.0,237.0,22600.0,A - Mini
Toyota,1515,265,260,13.1,69.0,77.0,989.0,269.0,65385.0,N - Passenger Van
Ford,2035,480,190,7.0,91.0,115.0,619.0,126.0,58500.0,D - Large
Ford,2038,425,214,3.7,91.0,115.0,619.0,187.0,77300.0,D - Large
Peugeot,2164,230,217,11.7,50.0,80.0,1.0,175.0,39440.0,N - Passenger Van
Polestar,2227,455,174,4.5,79.0,110.0,448.0,127.0,56990.0,D - Large
Ford,3425,260,273,9.0,71.0,105.0,819.0,279.0,72650.0,N - Passenger Van
Sono,1152,260,181,9.0,47.0,60.0,650.0,116.0,29900.0,C - Medium
Skoda,1282,420,183,6.2,77.0,103.0,585.0,147.0,63300.0,C - Medium
Citroen,1598,265,260,13.3,69.0,77.0,912.0,222.0,58730.0,N - Passenger Van
Ford,1672,425,214,4.4,91.0,84.0,619.0,191.0,77200.0,D - Large
